ProductId,prompt1_scores,prompt2_scores,prompt3_scores,prompt1_total,prompt2_total,prompt3_total,prompt1_rank,prompt2_rank,prompt3_rank
200440,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
203240,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
204460,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
207900,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
213020,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 4, 5, 5]",24,25,24,2,1,3
217400,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 4, 5, 5]",24,25,24,2,1,3
217880,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 4, 5, 5]",24,25,24,2,1,3
217920,"[5, 5, 4, 4, 5]","[5, 5, 5, 4, 5]","[5, 5, 4, 5, 5]",23,24,24,3,1,2
218940,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
219760,"[5, 5, 4, 4, 5]","[5, 5, 4, 4, 5]","[5, 5, 5, 4, 5]",23,23,24,2,3,1
220700,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
223540,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
226180,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 4, 5, 5]",24,25,24,2,1,3
230800,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
234280,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[4, 5, 4, 4, 5]",24,24,22,1,2,3
235640,"[5, 5, 4, 4, 5]","[5, 5, 4, 4, 5]","[5, 5, 5, 5, 5]",23,23,25,2,3,1
236020,"[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",25,25,25,1,2,3
236480,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",24,25,25,3,1,2
239420,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 4, 5, 5]",24,25,24,2,1,3
242680,"[5, 5, 5, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",25,24,24,1,2,3
243500,"[5, 5, 4, 5, 5]","[5, 5, 4, 4, 5]","[4, 5, 4, 4, 5]",24,23,22,1,2,3
245840,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",24,25,25,3,1,2
246660,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
